2018-11-23T11:24:21.643491	+023.4C
2018-11-23T11:24:31.529437	+023.4C
2018-11-23T11:24:41.415509	+023.5C
2018-11-23T11:24:51.301473	+023.4C
2018-11-23T11:25:01.187415	+023.4C
2018-11-23T11:25:11.074435	+023.4C
2018-11-23T11:25:20.960420	+023.5C
2018-11-23T11:25:30.846696	+023.4C
2018-11-23T11:25:40.733486	+023.4C
2018-11-23T11:25:50.620511	+023.5C
2018-11-23T11:26:00.506529	+023.5C
2018-11-23T11:26:10.392496	+023.5C
2018-11-23T11:26:20.278415	+023.6C
2018-11-23T11:26:30.164682	+023.6C
2018-11-23T11:26:40.051456	+023.6C
2018-11-23T11:26:49.937678	+023.6C
2018-11-23T11:26:59.825519	+023.6C
2018-11-23T11:27:09.711436	+023.6C
2018-11-23T11:27:19.597698	+023.6C
2018-11-23T11:27:29.484440	+023.6C
2018-11-23T11:27:39.370469	+023.7C
2018-11-23T11:27:49.256469	+023.7C
2018-11-23T11:27:59.142445	+023.7C
2018-11-23T11:28:09.028459	+023.7C
2018-11-23T11:28:18.914269	+023.7C
2018-11-23T11:28:28.801523	+023.7C
2018-11-23T11:28:38.687430	+023.8C
2018-11-23T11:28:48.574490	+023.8C
2018-11-23T11:28:58.460467	+023.8C
2018-11-23T11:29:08.348488	+023.8C
2018-11-23T11:29:18.234523	+023.8C
2018-11-23T11:29:28.121514	+023.8C
2018-11-23T11:29:38.006564	+023.8C
2018-11-23T11:29:47.892679	+023.7C
2018-11-23T11:29:57.778426	+023.8C
2018-11-23T11:30:07.665249	+023.8C
2018-11-23T11:30:17.552487	+023.8C
2018-11-23T11:30:27.438502	+023.8C
2018-11-23T11:30:37.324680	+023.8C
2018-11-23T11:30:47.211417	+023.8C
2018-11-23T11:30:57.097250	+023.8C
2018-11-23T11:31:06.983561	+023.8C
2018-11-23T11:31:16.870513	+023.8C
2018-11-23T11:31:26.756490	+023.9C
2018-11-23T11:31:36.643521	+023.9C
2018-11-23T11:31:46.529425	+023.9C
2018-11-23T11:31:56.416439	+023.9C
2018-11-23T11:32:06.303364	+023.9C
2018-11-23T11:32:16.190512	+023.9C
2018-11-23T11:32:26.077455	+023.9C
2018-11-23T11:32:35.964530	+023.9C
2018-11-23T11:32:45.850442	+023.9C
2018-11-23T11:32:55.736416	+023.9C
2018-11-23T11:33:05.622343	+023.9C
2018-11-23T11:33:15.507471	+023.9C
2018-11-23T11:33:25.393641	+023.9C
2018-11-23T11:33:35.278487	+023.9C
2018-11-23T11:33:45.162540	+023.9C
2018-11-23T11:33:55.048491	+023.9C
2018-11-23T11:34:04.933359	+023.9C
2018-11-23T11:34:14.817743	+023.9C
2018-11-23T11:34:24.702701	+024.0C
2018-11-23T11:34:34.588493	+024.0C
2018-11-23T11:34:44.473492	+023.9C
2018-11-23T11:34:54.358423	+023.9C
2018-11-23T11:35:04.244394	+023.9C
2018-11-23T11:35:14.129489	+023.9C
2018-11-23T11:35:24.015319	+023.9C
2018-11-23T11:35:33.900302	+023.9C
2018-11-23T11:35:43.785311	+023.9C
2018-11-23T11:35:53.671367	+023.9C
2018-11-23T11:36:03.557320	+023.9C
2018-11-23T11:36:13.443321	+023.9C
2018-11-23T11:36:23.329492	+023.9C
